 ,Sample Id,R,Acquisition Time,QC Status,Dataset File,Method File,"Na KED 23/23
Helium KED_LowLow
(ppb)","Mg KED 24/24
Helium KED_LowLow
(ppb)","Al KED 27/27
Helium KED_LowLow
(ppb)","P Oshift 31/47
Oxygen DRC
(ppb)","S (34) -1 34/34
Helium KED_LowLow
(ppb)","K KED 39/39
Helium KED_LowLow
(ppb)","Ca KED 43/43
Helium KED_LowLow
(ppb)","V KED 51/51
Helium KED_LowLow
(ppb)","Cr (52) 52/52
Helium KED_LowLow
(ppb)","Cr (53) NH3 53/53
Ammonia DRC
(ppb)","Fe (54) NH3 54/54
Ammonia DRC
(ppb)","Mn Oshift 55/71
Oxygen DRC
(ppb)","Fe (56) KED 56/56
Helium KED_LowLow
(ppb)","Co KED 59/59
Helium KED_LowLow
(ppb)","Ni KED 60/60
Helium KED_LowLow
(ppb)","Cu (63) KED 63/63
Helium KED_LowLow
(ppb)","Cu (65) NH3 65/65
Ammonia DRC
(ppb)","Zn NH3 66/66
Ammonia DRC
(ppb)","As 75/75
(ppb)","As KED 75/75
Helium KED_LowLow
(ppb)","As Oshift 75/91
Oxygen DRC
(ppb)","Se (77) 77/77
(ppb)","Se (77) Oshift 77/93
Oxygen DRC
(ppb)","Se (78) Oshift 78/94
Oxygen DRC
(ppb)","Se (80) Oshift 80/96
Oxygen DRC
(ppb)","Se (82) 82/82
(ppb)","Se (82) Oshift 82/98
Oxygen DRC
(ppb)","Mo (95) NH3 95/95
Ammonia DRC
(ppb)","Mo (95) OShift 95/127
Oxygen DRC
(ppb)",Rh (IS1) 103/103 (IS),"Rh (IS2) 103/103 (IS)
Oxygen DRC","Rh (IS4) 103/103 (IS)
Ammonia DRC","Rh (IS5) 103/103 (IS)
Ammonia DRC","Rh (IS6) 103/103 (IS)
Oxygen DRC","Rh (IS7) 103/103 (IS)
Helium KED_LowLow","Cd (111) NH3 111/111
Ammonia DRC
(ppb)","Cd (114) NH3 114/114
Ammonia DRC
(ppb)","Pb 208/208
(ppb)","Pb NH3 208/208
Ammonia DRC
(ppb)"
200,CCV 10 ppb MAJORS,,06/17/2023 08:27:48,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 10 ppb MAJORS.849,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,9196.097,9579.614,9.682,8.897,11025.481,9642.347,10209.783,9.854,10.267,10.515,9.984,10.244,9.181,9.776,9.345,9.816,9.913,10.159,9.453,9.862,9.931,10.475,10.087,10.085,10.101,10.216,10.270,10.002,10.352,64.2%,47.4%,55.1%,56.7%,47.9%,54.5%,9.804,9.871,10.823,11.110
201,CCV 10 ppb MAJORS,,06/17/2023 08:34:07,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 10 ppb MAJORS.850,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,9343.028,9610.949,9.238,8.870,10996.685,9457.881,10283.255,10.122,10.521,10.493,10.137,10.341,9.342,9.862,9.433,9.844,10.040,10.183,8.909,10.091,9.973,9.572,10.678,9.959,10.050,10.143,10.222,9.962,10.429,69.1%,48.3%,56.4%,57.6%,48.9%,55.0%,9.759,9.864,10.127,11.032
202,10_15_21_FB,,06/17/2023 08:40:08,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\10_15_21_FB.851,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,309.563,5.913,8.785,0.649,660.536,73.170,50.843,0.000,0.081,0.073,1.471,0.059,1.571,-0.006,0.010,0.105,0.117,7.531,-0.052,-0.007,0.009,0.133,0.006,0.005,-0.007,-0.022,-0.021,0.001,0.012,68.0%,46.5%,59.5%,61.3%,51.5%,59.0%,0.001,-0.001,0.050,0.054
203,10_15_21_FB,,06/17/2023 08:46:26,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\10_15_21_FB.852,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,300.792,6.641,8.900,0.585,577.208,80.972,51.931,0.003,0.079,0.077,1.478,0.051,1.477,-0.006,0.014,0.098,0.119,7.555,-0.036,-0.007,0.008,0.170,0.014,0.005,-0.008,0.013,-0.021,0.000,0.010,67.0%,50.7%,58.4%,60.8%,50.5%,58.2%,0.001,-0.001,0.047,0.053
204,10_15_21_BB,,06/17/2023 08:52:26,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\10_15_21_BB.853,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,56.122,1.531,-0.366,-0.728,443.641,59.176,44.666,0.000,0.014,0.019,-0.353,0.003,-0.234,-0.006,0.012,0.075,0.086,-0.061,0.003,0.007,0.001,0.109,0.013,0.005,-0.007,0.002,-0.021,-0.008,0.003,67.8%,51.0%,58.8%,60.9%,49.9%,57.4%,0.001,-0.002,0.013,0.019
205,10_15_21_BB,,06/17/2023 08:58:45,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\10_15_21_BB.854,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,56.137,0.236,-0.198,-0.728,487.644,56.437,46.561,-0.001,0.013,0.020,-0.342,0.004,-0.166,-0.008,0.005,0.084,0.083,-0.062,0.014,-0.011,-0.001,0.000,0.006,0.007,-0.006,-0.022,-0.015,-0.006,0.003,66.9%,50.8%,59.3%,60.3%,49.9%,57.5%,0.001,-0.002,0.013,0.019
206,10_15_21_LAB_A,,06/17/2023 09:04:45,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\10_15_21_LAB_A.855,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,56.962,0.236,-0.393,-0.762,312.466,55.556,41.900,-0.001,0.039,0.043,-0.184,0.007,-0.078,-0.008,0.000,0.088,0.089,-0.040,-0.019,-0.011,-0.001,0.024,0.006,-0.001,-0.011,0.032,-0.021,-0.003,0.006,66.8%,50.5%,61.5%,60.2%,49.7%,57.4%,0.001,-0.002,0.016,0.021
207,10_15_21_LAB_A,,06/17/2023 09:11:03,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\10_15_21_LAB_A.856,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,56.399,0.236,-0.384,-0.756,619.799,55.455,42.808,0.000,0.040,0.047,-0.161,0.006,-0.054,-0.007,0.002,0.098,0.093,-0.026,-0.019,-0.007,-0.002,0.200,0.006,0.002,-0.008,-0.023,-0.021,-0.001,0.007,66.4%,50.7%,58.9%,60.0%,49.9%,57.8%,0.001,-0.002,0.017,0.021
208,10_15_21_LAB_B,,06/17/2023 09:17:03,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\10_15_21_LAB_B.857,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,55.883,0.899,-0.327,-0.692,463.723,57.100,41.943,-0.001,0.012,0.016,-0.367,0.003,-0.174,-0.007,0.008,0.098,0.147,0.099,-0.020,-0.002,-0.003,0.114,0.006,0.005,-0.008,-0.085,-0.015,-0.009,0.002,65.8%,49.7%,57.6%,59.3%,48.7%,56.9%,0.001,-0.003,0.016,0.021
209,10_15_21_LAB_B,,06/17/2023 09:23:20,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\10_15_21_LAB_B.858,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,54.233,0.236,-0.181,-0.660,232.491,61.695,41.883,0.000,0.009,0.016,-0.364,0.002,-0.233,-0.007,0.002,0.111,0.101,0.098,0.029,-0.011,-0.003,0.075,0.014,-0.001,-0.012,-0.081,-0.015,-0.009,0.002,65.7%,49.3%,58.2%,59.7%,48.6%,56.8%,0.001,-0.002,0.017,0.021
210,5_18_23_DB,,06/17/2023 09:29:20,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\5_18_23_DB.859,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,54.791,0.236,-0.583,2.799,400.832,54.871,42.892,-0.001,-0.007,-0.001,-0.518,0.001,-0.334,-0.007,-0.005,0.078,0.083,-0.141,-0.030,-0.011,-0.002,-0.006,0.006,-0.001,-0.010,-0.046,-0.021,-0.009,0.001,65.9%,49.5%,57.4%,59.1%,48.4%,56.5%,0.001,-0.003,0.018,0.023
211,5_18_23_DB,,06/17/2023 09:35:39,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\5_18_23_DB.860,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,54.514,0.236,-0.592,3.978,284.214,60.618,42.947,0.000,-0.004,-0.001,-0.509,0.000,-0.419,-0.007,-0.002,0.088,0.082,-0.143,0.025,-0.007,-0.002,0.048,0.006,0.002,-0.011,-0.054,-0.008,-0.009,0.001,65.1%,49.2%,57.7%,59.7%,48.7%,56.0%,0.001,-0.002,0.018,0.023
212,LBLANK,,06/17/2023 09:41:39,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\LBLANK.861,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,53.962,0.236,-1.018,0.276,380.137,56.221,41.034,0.000,-0.009,-0.002,-0.588,0.000,-0.362,-0.007,-0.009,-0.011,-0.011,-0.231,-0.015,-0.006,-0.001,-0.066,0.006,0.005,-0.010,0.006,-0.014,-0.008,0.002,61.8%,48.9%,56.7%,58.4%,48.0%,55.3%,0.001,-0.003,-0.011,-0.004
213,LBLANK,,06/17/2023 09:47:59,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\LBLANK.862,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,53.952,0.236,-0.991,-0.762,211.465,63.827,40.057,-0.001,-0.006,-0.001,-0.584,-0.001,-0.395,-0.007,-0.004,-0.014,-0.010,-0.230,0.001,-0.011,-0.003,-0.033,0.014,-0.001,-0.012,-0.117,-0.021,-0.009,0.002,67.4%,49.0%,57.0%,58.6%,47.9%,56.0%,0.001,-0.002,-0.010,-0.004
214,CCV 1ppb TRACE,,06/17/2023 09:53:59,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 1ppb TRACE.863,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,941.335,971.939,0.838,0.111,1197.108,1024.105,1066.109,1.022,1.042,1.084,0.888,1.049,0.979,0.986,0.960,1.028,1.061,0.832,0.791,0.885,0.962,1.254,1.003,1.066,0.962,0.903,0.940,0.978,1.034,63.7%,48.3%,55.9%,57.5%,47.7%,55.0%,0.984,0.999,1.206,1.188
215,CCV 1ppb TRACE,,06/17/2023 10:00:19,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 1ppb TRACE.864,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,970.605,967.993,0.983,0.050,1617.056,1048.122,1118.911,1.058,1.076,1.095,0.941,1.055,0.984,0.991,0.981,0.998,1.070,0.817,0.857,0.997,0.998,1.159,1.050,0.935,0.923,0.947,1.080,1.003,1.038,64.2%,48.4%,55.3%,57.9%,47.5%,55.4%,1.013,1.011,1.197,1.176
216,LFB,,06/17/2023 10:06:18,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\LFB.865,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,8604.331,8848.021,9.486,10.885,10437.653,9135.780,9755.584,9.597,9.820,9.709,9.297,9.626,8.505,9.207,8.924,9.290,9.448,9.334,9.072,9.289,9.589,9.852,9.358,9.438,9.901,9.588,10.196,9.389,9.895,62.0%,44.9%,53.1%,54.5%,45.7%,52.9%,9.429,9.514,10.590,10.836
217,LFB,,06/17/2023 10:12:36,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\LFB.866,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,8488.455,8863.876,9.071,11.365,10232.532,8918.442,9541.548,9.341,9.508,10.083,9.539,9.799,8.522,9.140,8.940,9.311,9.667,9.519,9.166,9.973,9.709,10.045,9.472,9.582,9.805,10.023,10.423,9.615,10.029,62.4%,45.7%,53.1%,55.5%,46.1%,54.4%,9.588,9.728,10.588,10.709
218,CCV 10 ppb MAJORS,,06/17/2023 10:18:36,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 10 ppb MAJORS.867,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,9088.888,9458.521,9.738,9.111,11032.999,9584.437,10268.825,10.061,10.377,10.457,10.144,10.283,9.220,9.788,9.248,9.782,10.035,9.982,9.465,9.426,9.899,10.206,10.015,10.126,9.949,10.048,10.202,9.911,10.431,64.3%,46.7%,54.8%,56.9%,47.1%,54.4%,9.644,9.775,10.896,11.102
219,CCV 10 ppb MAJORS,,06/17/2023 10:24:55,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 10 ppb MAJORS.868,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,9136.639,9344.432,9.353,8.858,11013.028,9452.938,10278.224,10.046,10.168,10.581,10.038,10.258,9.215,9.774,9.413,9.705,10.095,10.127,9.482,9.624,9.820,10.119,10.004,9.812,9.801,10.454,10.049,9.998,10.465,64.8%,47.3%,55.0%,58.4%,48.2%,55.6%,9.719,9.883,10.759,10.833
220,5_18_23_DB,,06/17/2023 10:30:55,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\5_18_23_DB.869,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,56.087,0.236,-0.344,3.030,483.680,56.547,42.803,0.000,0.000,0.007,1.103,0.008,1.240,-0.006,-0.004,0.082,0.075,-0.139,-0.010,-0.007,-0.002,0.130,0.006,0.010,-0.007,-0.005,-0.001,0.003,0.004,66.8%,51.1%,60.2%,63.4%,50.3%,58.4%,0.001,-0.002,0.018,0.021
221,5_18_23_DB,,06/17/2023 10:37:14,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\5_18_23_DB.870,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,55.564,0.879,-0.459,4.255,414.761,59.288,40.926,0.000,0.001,0.004,1.092,0.008,1.195,-0.007,-0.005,0.082,0.080,-0.143,-0.033,-0.002,-0.001,0.085,0.013,0.002,-0.011,-0.064,-0.008,-0.001,0.002,67.9%,51.1%,59.5%,61.2%,49.7%,58.4%,0.001,-0.003,0.016,0.023
222,5_18_23_DB,,06/17/2023 10:43:14,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\5_18_23_DB.871,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,55.029,0.236,-0.415,4.456,526.072,63.435,46.485,0.000,0.007,0.013,-0.381,0.003,-0.107,0.068,0.006,0.090,0.088,-0.094,-0.091,-0.002,-0.001,0.433,0.006,0.005,-0.008,0.013,-0.015,-0.004,0.002,60.3%,50.2%,58.9%,60.3%,49.5%,58.1%,0.001,-0.002,0.026,0.025
223,5_18_23_DB,,06/17/2023 10:49:33,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\5_18_23_DB.872,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,55.599,0.236,-0.542,4.249,541.815,54.198,41.903,0.000,0.004,0.009,-0.356,0.003,-0.108,0.063,-0.006,0.086,0.091,-0.103,0.008,-0.011,-0.002,0.185,0.038,0.002,-0.007,-0.023,-0.021,-0.005,0.003,64.4%,49.8%,58.4%,67.1%,48.9%,57.3%,0.001,-0.003,0.021,0.020
224,5_18_23_DB,,06/17/2023 10:55:33,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\5_18_23_DB.873,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,56.458,0.236,-0.495,4.087,584.687,57.120,41.914,0.000,-0.002,0.002,-0.463,0.006,-0.107,-0.007,0.001,0.066,0.061,-0.094,0.005,-0.011,-0.003,0.039,0.006,-0.001,-0.006,-0.035,-0.021,-0.005,0.002,65.9%,48.8%,57.6%,59.1%,48.3%,56.7%,0.001,-0.002,0.010,0.015
225,5_18_23_DB,,06/17/2023 11:01:51,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\5_18_23_DB.874,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,56.141,0.236,-0.581,3.924,489.065,57.477,43.803,-0.001,-0.005,0.000,-0.466,0.004,-0.194,-0.007,0.005,0.058,0.062,-0.097,-0.032,0.003,-0.004,-0.024,0.006,0.013,-0.006,-0.036,-0.021,-0.006,0.002,65.6%,49.1%,57.1%,59.0%,47.6%,57.1%,0.001,-0.002,0.008,0.016
226,5_18_23_MFB,,06/17/2023 11:07:51,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\5_18_23_MFB.875,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,4502.953,4575.084,4.350,9.680,5801.114,4707.622,4994.994,4.941,5.215,5.117,4.863,5.141,4.775,4.855,4.621,5.001,5.026,4.633,4.537,4.844,4.936,5.161,5.291,5.069,4.971,4.881,4.902,4.738,5.132,62.8%,45.6%,54.2%,56.1%,46.3%,53.1%,4.656,4.734,5.656,5.658
227,5_18_23_MFB,,06/17/2023 11:14:09,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\5_18_23_MFB.876,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,4463.464,4710.486,4.735,9.663,5434.759,4631.435,5054.168,4.881,5.009,5.137,4.884,5.027,4.598,4.796,4.506,4.913,4.999,4.656,4.480,4.759,4.794,5.075,5.260,4.741,4.884,5.067,4.774,4.749,4.960,64.5%,47.2%,54.9%,57.1%,47.1%,54.8%,4.748,4.775,5.555,5.638
228,5_18_23_MFB,,06/17/2023 11:20:08,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\5_18_23_MFB.877,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,4428.924,4430.236,4.676,9.935,5721.935,4590.417,4902.020,4.806,5.028,4.968,4.522,4.892,4.277,4.713,4.554,4.871,4.914,4.507,4.476,4.362,4.655,5.260,5.151,4.877,4.715,4.893,4.817,4.588,4.828,63.8%,48.2%,56.0%,52.4%,48.5%,55.9%,4.655,4.680,5.578,6.192
229,5_18_23_MFB,,06/17/2023 11:26:26,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\5_18_23_MFB.878,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,4388.056,4647.989,4.468,10.016,5605.771,4604.674,4913.252,4.838,5.108,5.132,4.608,4.935,4.368,4.753,4.686,4.927,5.020,4.594,4.142,4.742,4.774,4.637,4.825,4.778,4.697,4.452,4.679,4.756,4.929,68.6%,47.4%,55.2%,57.1%,47.9%,55.3%,4.678,4.704,5.078,5.525
230,LBLANK,,06/17/2023 11:32:26,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\LBLANK.879,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,54.509,0.892,-0.978,0.443,471.710,64.020,40.040,0.001,-0.005,-0.001,-0.580,-0.001,-0.155,-0.008,0.006,-0.010,-0.010,-0.235,-0.011,-0.011,-0.001,0.060,0.006,0.005,-0.006,0.002,-0.015,0.002,0.003,67.8%,49.9%,58.2%,59.6%,48.7%,56.7%,0.001,-0.002,-0.010,-0.004
231,LBLANK,,06/17/2023 11:38:51,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\LBLANK.880,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,54.774,0.236,-0.979,-0.660,461.231,58.709,40.040,0.000,-0.005,-0.002,-0.595,-0.001,-0.289,-0.008,-0.001,-0.012,-0.012,-0.231,0.006,-0.011,-0.003,0.111,0.006,-0.001,-0.007,-0.017,-0.021,-0.002,0.002,67.3%,49.7%,58.1%,59.9%,49.0%,57.5%,0.001,-0.002,-0.010,-0.004
232,CCV 1ppb TRACE,,06/17/2023 11:44:51,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 1ppb TRACE.881,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,967.473,1004.792,1.361,0.246,1518.896,990.955,1104.974,1.019,1.073,1.091,0.917,1.059,1.114,0.975,0.986,1.019,1.019,0.818,0.859,0.997,0.997,1.151,0.885,0.994,1.040,1.093,1.002,0.984,1.029,64.7%,48.8%,57.1%,58.9%,48.0%,56.7%,0.969,0.985,1.209,1.162
233,CCV 1ppb TRACE,,06/17/2023 11:51:11,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 1ppb TRACE.882,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,971.269,1012.053,1.237,0.232,1682.255,1039.967,1059.426,1.044,1.038,1.054,0.891,1.083,1.072,0.996,1.016,1.034,1.038,0.799,0.866,1.061,0.967,1.415,0.983,0.951,0.984,1.024,1.016,0.976,1.043,64.3%,48.4%,56.7%,58.2%,48.2%,56.4%,0.960,0.990,1.199,1.169
234,CCV 10 ppb MAJORS,,06/17/2023 11:57:11,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 10 ppb MAJORS.883,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,9036.413,9290.925,9.137,8.834,10684.163,9550.768,10259.860,10.000,10.169,10.538,10.185,10.327,9.080,9.623,9.308,9.688,10.019,10.036,9.233,10.111,9.902,10.116,10.031,9.795,10.102,10.155,9.983,10.009,10.423,63.4%,45.3%,53.2%,55.2%,45.7%,53.6%,9.674,9.794,10.734,11.149
235,CAL BLANK,,06/17/2023 12:25:05,,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CAL BLANK.884,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230607_UCFR_5% _BAMRAB.mth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
