 ,Sample Id,R,Acquisition Time,QC Status,Dataset File,Method File,"Na KED 23/23
Helium KED_Low
(ppb)","Mg KED 24/24
Helium KED_Low
(ppb)","Al KED 27/27
Helium KED_Low
(ppb)","P Oshift 31/47
Oxygen DRC
(ppb)","S (34) -1 34/34
Helium KED_Low
(ppb)","K KED 39/39
Helium KED_Low
(ppb)","Ca KED 43/43
Helium KED_Low
(ppb)","V KED 51/51
Helium KED_Low
(ppb)","Cr (52) 52/52
Helium KED_Low
(ppb)","Cr (53) NH3 53/53
Ammonia DRC
(ppb)","Fe (54) NH3 54/54
Ammonia DRC
(ppb)","Mn Oshift 55/71
Oxygen DRC
(ppb)","Fe (56) KED 56/56
Helium KED_Low
(ppb)","Co KED 59/59
Helium KED_Low
(ppb)","Ni KED 60/60
Helium KED_Low
(ppb)","Cu (63) KED 63/63
Helium KED_Low
(ppb)","Cu (65) NH3 65/65
Ammonia DRC
(ppb)","Zn NH3 66/66
Ammonia DRC
(ppb)","As 75/75
(ppb)","As KED 75/75
Helium KED_Low
(ppb)","As  RH Oshift 75/91
Oxygen DRC
(ppb)","As Oshift 75/91
Oxygen DRC
(ppb)","Se (77) 77/77
(ppb)","Se (77) Oshift 77/93
Oxygen DRC
(ppb)","Se (78) Oshift 78/94
Oxygen DRC
(ppb)","Se (80) Oshift 80/96
Oxygen DRC
(ppb)","Se (82) 82/82
(ppb)","Se (82) Oshift 82/98
Oxygen DRC
(ppb)","Y 89/89
(ppb)","Y (EDR) 89/89
(ppb)","Mo (95) NH3 95/95
Ammonia DRC
(ppb)","Mo (95) OShift 95/127
Oxygen DRC
(ppb)",Rh (IS1) 103/103 (IS),"Rh (IS2) 103/103 (IS)
Oxygen DRC","Rh (IS3) 103/103 (IS)
Helium KED_Low","Rh (IS4) 103/103 (IS)
Ammonia DRC","Rh (IS5) 103/103 (IS)
Ammonia DRC","Rh (IS6) 103/103 (IS)
Oxygen DRC","Rh OShift (IS1) 103/119 (IS)
Oxygen DRC","Cd (111) NH3 111/111
Ammonia DRC
(ppb)","Cd (114) NH3 114/114
Ammonia DRC
(ppb)","In 115/115
(ppb)","Pb 208/208
(ppb)","Pb NH3 208/208
Ammonia DRC
(ppb)"
198,7_06_21_W_11 DUP,R,5/16/2023 10:45,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\W11 DUP LD.195,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,1441.298,1647.732,3.746,0.531,3178.159,470.363,6470.563,0.212,0.005,0.016,1.985,0.874,2.367,0.004,0.036,0.817,0.769,0.206,1.063,0.998,1.217,0.88,0.235,0.003,-0.005,0.001,0.056,0.005,,,0.409,0.351,82.30%,68.70%,101.10%,67.90%,60.40%,84.40%,63.70%,0.002,0.002,,0.029,0.037
199,7_06_21_W_11 DUP,R,5/16/2023 10:51,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\W11 DUP LD.196,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,1514.652,1838.42,4.249,1.436,3986.11,518.848,7668.127,0.237,0.013,0.015,2.538,1.647,2.961,0.005,0.056,0.953,0.889,0.266,1.002,1.166,1.21,1.022,0.168,-0.006,0.015,0.009,0.085,0,,,0.416,0.426,88.00%,75.50%,86.00%,81.70%,82.20%,73.40%,81.40%,0.001,0.003,,0.03,0.028
200,7_06_21_W_11 DUP,R,5/16/2023 10:57,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\W11 DUP LSP.197,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,1324.677,1518.331,3.596,1.373,3388.234,430.144,6673.693,0.231,0.006,0.016,2.576,1.568,2.429,0.004,0.04,0.837,0.912,0.271,0.948,0.917,1.179,0.991,0.069,0.007,0.017,0.012,0.039,0.009,,,0.432,0.405,94.30%,77.00%,97.00%,80.70%,83.10%,75.40%,83.60%,0.002,0.003,,0.024,0.028
201,7_06_21_W_11 DUP,R,5/16/2023 11:02,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\W11 DUP LSP.198,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,1387.548,1662.398,4.264,1.385,3800.601,478.605,7009.963,0.223,0.007,0.015,2.531,1.597,2.606,0.005,0.027,0.844,0.892,0.263,1.019,0.75,1.167,0.998,0.206,0.013,0.006,0.008,0.03,0.014,,,0.423,0.413,87.20%,76.90%,95.30%,80.00%,78.00%,75.60%,85.40%,0.001,0.002,,0.028,0.03
202,LBLANK,R,5/16/2023 11:08,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\LBLANK.199,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,126.041,58.09,-0.057,-0.466,744.933,133.169,144.147,0.081,-0.001,0.004,-0.103,-0.001,-0.019,0.001,0.013,-0.099,-0.104,-0.194,-0.08,0.034,0.327,0,0.14,-0.024,-0.001,-0.004,-0.044,-0.005,,,-0.001,0.004,81.80%,76.30%,93.70%,79.40%,80.60%,76.20%,79.90%,0,0.001,,0,0
203,ICV PE,R,5/16/2023 11:14,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\ICV PE.200,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,11452.56,10758.38,10.448,-0.384,11178.551,9719.031,11717.21,11.342,11.275,11.448,11.046,11.938,10.366,11.513,11.877,11.236,11.318,9.997,10.42,10.097,9.785,10.967,6.449,11.161,10.956,11.105,10.933,10.677,,,10.699,11.115,86.90%,70.90%,90.60%,77.80%,73.60%,72.80%,76.60%,10.197,10.232,,8.896,10.047
204,ICV PE,R,5/16/2023 11:20,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\ICV PE.201,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,11394.337,10824.47,9.589,-0.421,11603.802,9861.979,11469.922,11.549,11.695,11.066,10.857,11.011,11.074,11.732,12.055,11.919,11.047,9.835,10.253,9.937,9.173,10.247,6.379,10.711,9.98,10.204,10.471,9.961,,,10.436,10.212,89.80%,74.70%,87.20%,78.60%,79.50%,73.00%,80.80%,10.05,10.066,,8.565,8.979
205,CCV 1ppb,R,5/16/2023 11:26,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 1ppb.202,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,1189.155,1044.936,0.96,0.467,1741.339,1013.65,1138.12,1.16,1.072,1.125,0.968,1.096,0.994,1.057,1.198,1.017,1.057,0.818,0.946,1.122,1.201,1.003,1.006,0.961,0.969,0.991,0.96,0.922,,,1.039,1.043,92.70%,79.90%,99.00%,85.00%,84.60%,79.00%,85.70%,1.01,0.996,,0.892,0.926
206,CCV 1ppb,R,5/16/2023 11:32,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 1ppb.203,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,1203.556,1136.759,0.941,0.454,1897.465,1073.243,1156.077,1.072,1.059,1.133,0.995,1.121,1.056,1.109,1.186,1.023,1.081,0.845,0.911,1.023,1.197,1.013,1.039,1.03,0.927,1.019,0.88,1.066,,,1.043,1.037,95.80%,78.70%,101.80%,84.10%,86.30%,79.40%,85.50%,1.009,1.01,,0.877,0.928
207,LFB,R,5/16/2023 11:38,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\LFB.204,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,2719.43,2334.672,7.599,2.388,3199.498,2327.969,2651.815,2.64,2.599,2.804,2.734,2.727,2.389,2.616,2.671,2.61,2.801,2.424,2.499,2.551,2.49,2.61,2.492,2.871,2.411,2.609,2.657,2.435,,,2.6,2.605,89.80%,77.10%,103.20%,82.40%,70.50%,77.50%,86.90%,2.547,2.527,,2.259,2.822
208,CCV 10 ppb,R,5/16/2023 11:44,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 10 ppb.205,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,10970.743,10098.147,10.792,10.484,10664.509,9553.552,10708.817,10.846,10.85,10.889,10.553,10.745,10.251,10.928,11.053,10.902,10.964,9.766,10.231,10.083,9.303,10.217,9.519,10.558,10.371,10.093,10.85,9.315,,,10.396,10.315,88.40%,76.10%,96.00%,80.10%,91.60%,73.80%,81.00%,9.892,9.723,,8.793,7.791
209,CCV 10 ppb,R,5/16/2023 11:50,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\CCV 10 ppb.206,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,10414.351,9749.165,10.01,10.572,10539.935,9213.177,10142.485,10.606,10.57,12.478,11.792,10.754,9.929,10.784,11.16,10.816,12.199,10.965,10.316,10.841,9.392,10.384,9.653,10.539,9.884,10.071,10.263,9.813,,,11.671,10.295,87.60%,75.30%,97.00%,73.90%,80.30%,74.70%,80.60%,11.012,11.159,,8.917,8.971
210,ICV LOW,R,5/16/2023 11:56,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\ICV LOW.207,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,1193.413,1116.435,10.3,10.171,805.978,1088.505,1400.309,10.746,10.944,11.109,10.824,10.862,10.114,10.983,11.624,11.222,11.275,9.695,9.826,10.163,9.096,10.107,9.434,10.253,9.844,9.844,10.021,9.21,,,10.132,10.247,94.80%,78.90%,98.00%,83.50%,80.70%,77.20%,84.90%,9.929,10.055,,9.084,9.599
211,ICV LOW,R,5/16/2023 12:02,Failed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\ICV LOW.208,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,1202.921,1154.068,10.019,10.089,1099.867,1086.164,1372.367,10.789,11.212,10.83,10.623,10.753,10.623,11.499,12.017,11.398,11.115,9.715,10.168,10.869,8.661,10.036,9.777,10.334,9.713,9.666,10.077,9.448,,,10.192,10.07,93.80%,78.30%,96.30%,83.00%,82.70%,77.60%,88.10%,9.851,9.934,,9.377,9.134
212,W11 DUP LD,R,5/16/2023 12:11,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\W11 DUP LD.209,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,1466.161,1706.547,3.908,1.12,3405.522,456.317,7228.864,0.229,0.011,0.016,2.61,1.701,2.751,0.005,0.024,0.908,0.887,0.251,1.025,1.025,1.236,1.078,0.217,0.001,0.021,0.021,0.036,0.029,,,0.419,0.439,82.00%,73.30%,93.60%,80.20%,81.50%,78.00%,81.10%,0.002,0.002,,0.03,0.029
213,W11 DUP LSP,R,5/16/2023 12:17,Passed,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\DataSet\230515_BAMRAB\W11 DUP LSP.210,C:\Users\Public\Documents\PerkinElmer Syngistix\ICPMS\Method\EBL Methods\230515_UCFR_5% _BAMRAB.mth,4220.894,4402.15,5.855,3.926,6178.757,2888.138,9910.292,2.994,2.763,2.847,5.332,4.417,5.385,2.848,3.106,3.729,3.814,2.941,3.657,3.581,3.402,3.772,2.636,3.054,2.551,2.609,2.991,2.677,,,3.176,3.146,87.40%,73.90%,92.90%,78.40%,79.20%,78.90%,84.60%,2.615,2.642,,2.362,2.471
